2016/10/1 0:00,112,江苏扬州三江营,长江,夹江（南水北调取水口）,7.4,Ⅰ,7.63,Ⅰ,1.6,Ⅰ,1.4,-,-1,-
2016/10/1 4:00,112,江苏扬州三江营,长江,夹江（南水北调取水口）,7.39,Ⅰ,7.65,Ⅰ,2,Ⅰ,1.4,-,-1,-
2016/10/1 8:00,18,江苏南京林山,长江,长江干流（皖-苏省界）,7.79,Ⅰ,6.94,Ⅱ,2.64,Ⅱ,9999,-,0.18,Ⅱ
2016/10/1 8:00,56,安徽安庆皖河口,长江,长江干流,7.67,Ⅰ,7.12,Ⅱ,3.05,Ⅱ,9999,-,0.24,Ⅱ
2016/10/1 8:00,65,湖北武汉宗关,长江,汉江（入长江前）,7.54,Ⅰ,9.34,Ⅰ,2.25,Ⅱ,9999,-,0.18,Ⅱ
2016/10/1 8:00,75,湖北宜昌南津关,长江,长江干流（三峡水库出口）,6.98,Ⅰ,7.66,Ⅰ,2.26,Ⅱ,9999,-,0.26,Ⅱ
2016/10/1 8:00,107,湖南岳阳岳阳楼,长江,洞庭湖出口,6.86,Ⅰ,7.72,Ⅰ,-1,-,9999,-,0.28,Ⅱ
2016/10/1 8:00,110,湖南长沙新港,长江,湘江（洞庭湖入口）,7.53,Ⅰ,5.73,Ⅲ,-1,-,0.36,-,0.12,Ⅰ
2016/10/1 8:00,112,江苏扬州三江营,长江,夹江（南水北调取水口）,7.4,Ⅰ,7.66,Ⅰ,1.9,Ⅰ,1.4,-,-1,-
2016/10/1 8:00,167,贵州赤水鲢鱼溪,长江,赤水河（黔-川省界）,8.64,Ⅰ,7.49,Ⅱ,1.94,Ⅰ,9999,-,0.21,Ⅱ
2016/10/1 8:00,173,湖南常德坡头,长江,沅江（入洞庭湖）,7.64,Ⅰ,9.43,Ⅰ,0.63,Ⅰ,9999,-,0.17,Ⅱ
2016/10/1 8:00,175,湖南常德沙河口,长江,澧水（入洞庭湖）,9.19,劣Ⅴ,8.01,Ⅰ,-1,-,9999,-,0.87,Ⅲ
2016/10/1 8:00,5,重庆朱沱,长江,长江干流（川-渝省界）,8.52,Ⅰ,7.48,Ⅱ,2.13,Ⅱ,9999,-,0.32,Ⅱ
